Colonne1;NOM;TACHE;COULEUR;TOUCHE;REPONSE;TEMPS;COTE;SIMON;TEXTE;STROOP
1;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;552;Centre;Neutre;DROITE;Congruent
2;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;663;Cote_Gauche;Incompatible;CENTRE;Neutre
3;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;667;Cote_Droit;Incompatible;GAUCHE;Congruent
4;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;809;Cote_Droit;Compatible;CENTRE;Neutre
5;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;667;Cote_Droit;Incompatible;GAUCHE;Congruent
6;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;484;Cote_Droit;Incompatible;GAUCHE;Congruent
7;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;499;Cote_Gauche;Incompatible;GAUCHE;Incongruent
8;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;735;Cote_Gauche;Compatible;GAUCHE;Congruent
9;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;493;Cote_Gauche;Incompatible;DROITE;Congruent
10;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;653;Cote_Gauche;Incompatible;GAUCHE;Incongruent
11;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;552;Cote_Gauche;Compatible;GAUCHE;Congruent
12;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;486;Cote_Gauche;Incompatible;DROITE;Congruent
13;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;589;Cote_Droit;Incompatible;CENTRE;Neutre
14;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;697;Centre;Neutre;CENTRE;Neutre
15;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;456;Centre;Neutre;GAUCHE;Congruent
16;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;565;Cote_Gauche;Compatible;GAUCHE;Congruent
17;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;605;Cote_Droit;Incompatible;CENTRE;Neutre
18;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;509;Cote_Droit;Incompatible;GAUCHE;Congruent
19;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;458;Cote_Droit;Incompatible;CENTRE;Neutre
20;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;512;Centre;Neutre;DROITE;Congruent
21;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;446;Cote_Droit;Compatible;DROITE;Congruent
22;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;378;Cote_Gauche;Compatible;CENTRE;Neutre
23;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;547;Cote_Droit;Incompatible;CENTRE;Neutre
24;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;465;Centre;Neutre;DROITE;Congruent
25;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;610;Centre;Neutre;CENTRE;Neutre
26;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;558;Cote_Gauche;Incompatible;DROITE;Congruent
27;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;442;Cote_Gauche;Compatible;GAUCHE;Congruent
28;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;499;Cote_Droit;Compatible;DROITE;Congruent
29;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;521;Cote_Gauche;Compatible;CENTRE;Neutre
30;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;551;Centre;Neutre;CENTRE;Neutre
