Colonne1;NOM;TACHE;COULEUR;TOUCHE;REPONSE;TEMPS;COTE;SIMON;TEXTE;STROOP
31;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;865;Cote_Droit;Incompatible;CENTRE;Neutre
32;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;572;Centre;Neutre;DROITE;Incongruent
33;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;385;Cote_Gauche;Compatible;GAUCHE;Congruent
34;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;566;Cote_Gauche;Incompatible;DROITE;Congruent
35;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;494;Cote_Gauche;Incompatible;CENTRE;Neutre
36;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;398;Cote_Gauche;Compatible;DROITE;Incongruent
37;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;432;Centre;Neutre;GAUCHE;Congruent
38;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;480;Centre;Neutre;DROITE;Congruent
39;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;490;Cote_Gauche;Incompatible;CENTRE;Neutre
40;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;533;Centre;Neutre;CENTRE;Neutre
41;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;423;Centre;Neutre;GAUCHE;Congruent
42;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;444;Cote_Droit;Compatible;CENTRE;Neutre
43;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;607;Cote_Gauche;Incompatible;CENTRE;Neutre
44;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;476;Cote_Gauche;Compatible;GAUCHE;Congruent
45;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;511;Cote_Droit;Compatible;CENTRE;Neutre
46;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;785;Centre;Neutre;GAUCHE;Congruent
47;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;419;Cote_Gauche;Compatible;CENTRE;Neutre
48;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;720;Cote_Gauche;Incompatible;GAUCHE;Incongruent
49;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;455;Cote_Droit;Compatible;GAUCHE;Incongruent
50;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;584;Cote_Droit;Incompatible;CENTRE;Neutre
51;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;494;Centre;Neutre;GAUCHE;Incongruent
52;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;580;Centre;Neutre;DROITE;Incongruent
53;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;460;Centre;Neutre;CENTRE;Neutre
54;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;536;Cote_Droit;Compatible;DROITE;Congruent
55;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;669;Centre;Neutre;CENTRE;Neutre
56;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;743;Cote_Gauche;Incompatible;GAUCHE;Incongruent
57;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;612;Centre;Neutre;GAUCHE;Congruent
58;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;527;Cote_Droit;Incompatible;GAUCHE;Congruent
59;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;414;Cote_Gauche;Compatible;DROITE;Incongruent
60;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;685;Cote_Droit;Incompatible;DROITE;Incongruent
61;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;466;Cote_Droit;Compatible;CENTRE;Neutre
62;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;483;Centre;Neutre;GAUCHE;Incongruent
63;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;426;Cote_Gauche;Compatible;DROITE;Incongruent
64;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;455;Centre;Neutre;DROITE;Incongruent
65;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;396;Cote_Gauche;Compatible;DROITE;Incongruent
66;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;501;Cote_Droit;Compatible;DROITE;Congruent
67;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;575;Centre;Neutre;CENTRE;Neutre
68;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;470;Centre;Neutre;DROITE;Incongruent
69;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;595;Cote_Droit;Incompatible;DROITE;Incongruent
70;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;507;Centre;Neutre;GAUCHE;Incongruent
71;sujet1;Simon-Stroop-evaluation;O;TOUCHE_DROITE;0;485;Cote_Droit;Incompatible;DROITE;Incongruent
72;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1390;Centre;Neutre;CENTRE;Neutre
73;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;785;Cote_Droit;Compatible;CENTRE;Neutre
74;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;531;Cote_Gauche;Incompatible;DROITE;Congruent
75;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;516;Cote_Droit;Incompatible;GAUCHE;Congruent
76;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;574;Cote_Gauche;Incompatible;GAUCHE;Incongruent
77;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;881;Cote_Gauche;Compatible;DROITE;Incongruent
78;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;857;Centre;Neutre;GAUCHE;Incongruent
79;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;486;Cote_Gauche;Compatible;CENTRE;Neutre
80;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;538;Centre;Neutre;GAUCHE;Congruent
81;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;459;Centre;Neutre;CENTRE;Neutre
82;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;549;Centre;Neutre;GAUCHE;Incongruent
83;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;497;Cote_Droit;Compatible;GAUCHE;Incongruent
84;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;612;Cote_Gauche;Incompatible;DROITE;Congruent
85;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;432;Centre;Neutre;CENTRE;Neutre
86;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;562;Cote_Gauche;Compatible;DROITE;Incongruent
87;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;616;Cote_Droit;Incompatible;DROITE;Incongruent
88;sujet1;Simon-Stroop-evaluation;O;TOUCHE_DROITE;0;682;Cote_Droit;Incompatible;DROITE;Incongruent
89;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;781;Centre;Neutre;DROITE;Congruent
90;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;449;Cote_Droit;Compatible;GAUCHE;Incongruent
91;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;502;Cote_Gauche;Compatible;CENTRE;Neutre
92;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;428;Cote_Droit;Compatible;GAUCHE;Incongruent
93;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;571;Cote_Gauche;Compatible;CENTRE;Neutre
94;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;657;Centre;Neutre;DROITE;Incongruent
95;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;605;Centre;Neutre;GAUCHE;Incongruent
96;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;568;Centre;Neutre;CENTRE;Neutre
97;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;512;Cote_Gauche;Incompatible;CENTRE;Neutre
98;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;384;Cote_Droit;Compatible;GAUCHE;Incongruent
99;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;507;Cote_Gauche;Incompatible;CENTRE;Neutre
100;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;432;Centre;Neutre;CENTRE;Neutre
101;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;447;Cote_Droit;Compatible;DROITE;Congruent
102;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;400;Cote_Droit;Incompatible;DROITE;Incongruent
103;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;442;Cote_Droit;Compatible;CENTRE;Neutre
104;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;535;Cote_Droit;Compatible;DROITE;Congruent
105;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;433;Cote_Droit;Compatible;GAUCHE;Incongruent
106;sujet1;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;527;Centre;Neutre;DROITE;Incongruent
107;sujet1;Simon-Stroop-evaluation;B;TOUCHE_GAUCHE;0;419;Cote_Gauche;Incompatible;GAUCHE;Incongruent
108;sujet1;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;628;Centre;Neutre;DROITE;Congruent
1;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1222;Cote_Droit;Incompatible;DROITE;Incongruent
2;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1427;Cote_Gauche;Compatible;CENTRE;Neutre
3;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;490;Cote_Gauche;Compatible;DROITE;Incongruent
4;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;820;Centre;Neutre;CENTRE;Neutre
5;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;713;Cote_Gauche;Incompatible;DROITE;Congruent
6;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;551;Cote_Gauche;Incompatible;DROITE;Congruent
7;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;719;Cote_Gauche;Incompatible;CENTRE;Neutre
8;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;485;Cote_Gauche;Compatible;DROITE;Incongruent
9;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1439;Cote_Droit;Compatible;CENTRE;Neutre
10;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;2060;Cote_Gauche;Compatible;CENTRE;Neutre
11;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;728;Centre;Neutre;CENTRE;Neutre
12;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1479;Cote_Droit;Incompatible;DROITE;Incongruent
13;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1067;Centre;Neutre;CENTRE;Neutre
14;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;811;Centre;Neutre;CENTRE;Neutre
15;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;956;Cote_Droit;Compatible;GAUCHE;Incongruent
16;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1196;Cote_Gauche;Compatible;GAUCHE;Congruent
17;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;687;Centre;Neutre;GAUCHE;Congruent
18;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;2318;Cote_Droit;Incompatible;DROITE;Incongruent
19;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;769;Cote_Droit;Compatible;DROITE;Congruent
20;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;681;Cote_Droit;Incompatible;GAUCHE;Congruent
21;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;684;Cote_Gauche;Compatible;DROITE;Incongruent
22;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;739;Cote_Droit;Incompatible;CENTRE;Neutre
23;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;740;Cote_Gauche;Incompatible;GAUCHE;Incongruent
24;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;702;Cote_Gauche;Incompatible;DROITE;Congruent
25;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;774;Cote_Droit;Incompatible;DROITE;Incongruent
26;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;713;Cote_Gauche;Compatible;DROITE;Incongruent
27;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;600;Centre;Neutre;DROITE;Incongruent
28;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;750;Cote_Gauche;Compatible;DROITE;Incongruent
29;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1508;Centre;Neutre;DROITE;Congruent
30;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;967;Cote_Droit;Compatible;DROITE;Congruent
31;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1147;Cote_Gauche;Compatible;GAUCHE;Congruent
32;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1033;Cote_Gauche;Incompatible;GAUCHE;Incongruent
33;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;2470;Cote_Droit;Compatible;GAUCHE;Incongruent
34;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;794;Cote_Gauche;Incompatible;GAUCHE;Incongruent
35;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;919;Centre;Neutre;DROITE;Congruent
36;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;865;Cote_Gauche;Incompatible;DROITE;Congruent
37;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;552;Cote_Gauche;Compatible;CENTRE;Neutre
38;Canard;Simon-Stroop-evaluation;B;TOUCHE_GAUCHE;0;959;Cote_Gauche;Incompatible;GAUCHE;Incongruent
39;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1226;Cote_Droit;Compatible;CENTRE;Neutre
40;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;787;Cote_Gauche;Incompatible;CENTRE;Neutre
41;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;772;Cote_Droit;Incompatible;CENTRE;Neutre
42;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;712;Cote_Droit;Incompatible;CENTRE;Neutre
43;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1112;Centre;Neutre;DROITE;Incongruent
44;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;488;Cote_Droit;Compatible;GAUCHE;Incongruent
45;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1242;Centre;Neutre;GAUCHE;Incongruent
46;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;670;Cote_Droit;Incompatible;DROITE;Incongruent
47;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1641;Centre;Neutre;GAUCHE;Incongruent
48;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;929;Cote_Gauche;Incompatible;DROITE;Congruent
49;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;718;Cote_Droit;Incompatible;CENTRE;Neutre
50;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1324;Centre;Neutre;GAUCHE;Incongruent
51;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;888;Centre;Neutre;GAUCHE;Congruent
52;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;993;Cote_Droit;Compatible;CENTRE;Neutre
53;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1283;Centre;Neutre;CENTRE;Neutre
54;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;640;Centre;Neutre;DROITE;Incongruent
55;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1655;Centre;Neutre;CENTRE;Neutre
56;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;788;Cote_Gauche;Incompatible;GAUCHE;Incongruent
57;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;891;Centre;Neutre;CENTRE;Neutre
58;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;694;Centre;Neutre;DROITE;Incongruent
59;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;713;Cote_Droit;Incompatible;CENTRE;Neutre
60;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;652;Centre;Neutre;CENTRE;Neutre
61;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1429;Cote_Droit;Compatible;GAUCHE;Incongruent
62;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;601;Cote_Droit;Incompatible;GAUCHE;Congruent
63;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;881;Cote_Droit;Compatible;DROITE;Congruent
64;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;688;Centre;Neutre;CENTRE;Neutre
65;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;681;Cote_Droit;Compatible;GAUCHE;Incongruent
66;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;681;Cote_Droit;Incompatible;GAUCHE;Congruent
67;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1091;Centre;Neutre;CENTRE;Neutre
68;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;601;Centre;Neutre;DROITE;Congruent
69;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;634;Cote_Gauche;Incompatible;CENTRE;Neutre
70;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;544;Cote_Gauche;Compatible;CENTRE;Neutre
71;Canard;Simon-Stroop-evaluation;B;TOUCHE_GAUCHE;0;557;Cote_Droit;Compatible;GAUCHE;Incongruent
72;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1129;Cote_Gauche;Compatible;GAUCHE;Congruent
73;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1598;Cote_Gauche;Incompatible;GAUCHE;Incongruent
74;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;600;Cote_Droit;Compatible;DROITE;Congruent
75;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;552;Cote_Droit;Compatible;CENTRE;Neutre
76;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;449;Cote_Droit;Compatible;CENTRE;Neutre
77;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;835;Centre;Neutre;GAUCHE;Congruent
78;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;673;Cote_Gauche;Incompatible;CENTRE;Neutre
79;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1929;Centre;Neutre;DROITE;Congruent
80;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;866;Centre;Neutre;GAUCHE;Congruent
81;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1067;Cote_Gauche;Incompatible;DROITE;Congruent
82;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1722;Cote_Droit;Incompatible;GAUCHE;Congruent
83;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;728;Centre;Neutre;GAUCHE;Congruent
84;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;2210;Centre;Neutre;CENTRE;Neutre
85;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;591;Centre;Neutre;DROITE;Incongruent
86;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;1014;Centre;Neutre;GAUCHE;Incongruent
87;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;534;Cote_Gauche;Incompatible;CENTRE;Neutre
88;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;659;Cote_Droit;Incompatible;GAUCHE;Congruent
89;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;638;Cote_Droit;Compatible;CENTRE;Neutre
90;Canard;Simon-Stroop-evaluation;O;TOUCHE_DROITE;0;846;Centre;Neutre;DROITE;Incongruent
91;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;919;Cote_Droit;Incompatible;CENTRE;Neutre
92;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;2132;Centre;Neutre;CENTRE;Neutre
93;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1103;Cote_Gauche;Compatible;GAUCHE;Congruent
94;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;656;Cote_Droit;Compatible;DROITE;Congruent
95;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1468;Cote_Gauche;Compatible;GAUCHE;Congruent
96;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;581;Centre;Neutre;DROITE;Congruent
97;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1400;Cote_Gauche;Compatible;DROITE;Incongruent
98;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;814;Cote_Gauche;Compatible;CENTRE;Neutre
99;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;730;Cote_Gauche;Incompatible;CENTRE;Neutre
100;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1388;Centre;Neutre;GAUCHE;Congruent
101;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;800;Centre;Neutre;DROITE;Congruent
102;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1542;Cote_Droit;Incompatible;GAUCHE;Congruent
103;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;788;Cote_Gauche;Compatible;GAUCHE;Congruent
104;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;735;Centre;Neutre;GAUCHE;Incongruent
105;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;885;Cote_Gauche;Compatible;CENTRE;Neutre
106;Canard;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;1685;Cote_Droit;Incompatible;DROITE;Incongruent
107;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;718;Cote_Droit;Compatible;DROITE;Congruent
108;Canard;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;474;Centre;Neutre;GAUCHE;Incongruent
1;sujet2;Simon-Stroop-evaluation;O;TOUCHE_GAUCHE;1;533;Cote_Gauche;Compatible;CENTRE;Neutre
2;sujet2;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;972;Cote_Droit;Compatible;GAUCHE;Incongruent
3;sujet2;Simon-Stroop-evaluation;B;TOUCHE_DROITE;1;753;Centre;Neutre;GAUCHE;Incongruent
